date	close
1-Jan-81	655
1-Jan-82	606
1-Jan-83	606
1-Jan-84	646
1-Jan-85	618
1-Jan-86	620
1-Jan-87	655
1-Jan-88	628
1-Jan-89	679
1-Jan-90	690
1-Jan-91	663
1-Jan-92	708
1-Jan-93	690
1-Jan-94	737
1-Jan-95	708
1-Jan-96	681
1-Jan-97	649
1-Jan-98	774
1-Jan-99	740
1-Jan-00	781
1-Jan-01	823
1-Jan-02	739
1-Jan-03	756
1-Jan-04	649
1-Jan-05	747
1-Jan-06	698
1-Jan-07	704
