date	close1
1-Jan-81	6.9
1-Jan-82	7.2
1-Jan-83	6.8
1-Jan-84	7.6
1-Jan-85	8.2
1-Jan-86	6.1
1-Jan-87	5.8
1-Jan-88	6
1-Jan-89	5.9
1-Jan-90	6.1
1-Jan-91	6
1-Jan-92	6.2
1-Jan-93	5.7
1-Jan-94	5.2
1-Jan-95	6.3
1-Jan-96	6.5
1-Jan-97	7.4
1-Jan-98	6.6
1-Jan-99	5.5
1-Jan-00	5.8
1-Jan-01	6.2
1-Jan-02	5.8
1-Jan-03	5.5
1-Jan-04	5.5
1-Jan-05	7.6
1-Jan-06	5.3
1-Jan-07	6.2
